qc_id,medidor,ilicito,mt,anom_slect,anom_clect,comentario,fecha,hora,lat y,lon x,icon_url
"327",d516yb,NO,SI,NA,NA,,2021/11/01,1:58:13,25.68188,-100.34622,./0.png
"328",d702xb,NO,NO,NA,NA,,2021/11/01,1:24:21,25.67696,-100.3399,./0.png
"329",e8151v,NO,NO,NA,NA,,2021/11/01,12:38:30,25.68378,-100.3426,./0.png
"330",f0r401,NO,NO,NA,NA,,2021/11/01,1:35:42,25.67774,-100.33879,./0.png
"331",f3p571,NO,NO,NA,M-Obsoleto,,2021/11/01,12:29:48,25.68411,-100.34299,./0.png
"332",f3p810,NO,NO,NA,NA,,2021/11/01,1:21:45,25.67736,-100.34032,./0.png
"333",f7p651,NO,NO,NA,NA,,2021/11/01,2:14:21,25.67706,-100.33831,./0.png
"334",f9p316,NO,NO,NA,NA,,2021/11/01,1:12:15,0,0,./0.png
"335",fh091e,NO,NO,NA,NA,,2021/11/01,2:43:37,25.67713,-100.33774,./0.png
"336",fh724d,NO,NO,NA,NA,,2021/11/01,12:50:38,25.68323,-100.34194,./0.png
"337",ft262e,NO,NO,NA,NA,,2021/11/01,1:25:25,25.67732,-100.33968,./0.png
"338",g053vn,NO,NO,NA,NA,,2021/11/01,2:52:59,25.67686,-100.33665,./0.png
"339",g091xy,NO,NO,NA,NA,,2021/11/01,2:06:20,25.67633,-100.33883,./0.png
"340",g202jn,NO,NO,NA,NA,,2021/11/01,12:03:05,25.67627,-100.34192,./0.png
"341",g5t910,NO,NO,NA,NA,,2021/11/01,2:30:35,25.67774,-100.33819,./0.png
"342",g669xr,NO,NO,NA,NA,ok,2021/11/01,1:50:11,25.68269,-100.34591,./0.png
"343",g671le,NO,NO,NA,C5-SinSello,,2021/11/01,12:43:52,25.68287,-100.34367,./0.png
"344",g671le,NO,NO,NA,C5-SinSello,,2021/11/01,12:47:40,25.68401,-100.34176,./0.png
"345",g726vk,NO,NO,NA,NA,,2021/11/01,2:12:40,25.6771,-100.33858,./0.png
"346",g791xp,NO,NO,NA,NA,ok,2021/11/01,1:46:45,25.68278,-100.34588,./0.png
"347",g7w176,NO,NO,NA,NA,,2021/11/01,2:19:11,25.67652,-100.33837,./0.png
"348",g9k826,NO,NO,NA,NA,,2021/11/01,2:19:56,25.67649,-100.33842,./0.png
"349",ga310l,NO,NO,NA,C5-SinSello,,2021/11/01,1:14:11,25.68221,-100.34444,./0.png
"350",ga605l,NO,NO,NA,NA,,2021/11/01,1:13:37,25.67702,-100.34075,./0.png
"351",ga771p,NO,NO,NA,NA,,2021/11/01,1:16:02,25.67766,-100.34083,./0.png
"352",h3c716,NO,NO,NA,NA,,2021/11/01,2:27:10,25.67694,-100.33829,./0.png
"353",h5a119,NO,NO,NA,NA,,2021/11/01,2:26:56,25.6769,-100.33835,./0.png
"354",j096dp,NO,NO,NA,NA,,2021/11/01,1:52:22,25.68219,-100.34561,./0.png
"355",j185dp,NO,NO,NA,NA,,2021/11/01,2:29:18,25.67731,-100.33822,./0.png
"356",j194rp,NO,NO,NA,NA,,2021/11/01,2:40:20,25.6771,-100.33802,./0.png
"357",j3827x,NO,NO,NA,NA,,2021/11/01,12:38:16,25.68378,-100.34254,./0.png
